사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Sep.19,1호선,150,서울역,959,20,11047,9134,13858,51038,41642,100138,80038,211470,59748,154679,64955,85590,80772,76541,91374,84281,93932,87581,81456,79433,109465,84604,111230,89449,152289,98304,230343,102819,128944,78015,92301,56264,88295,46753,67122,34914,31416,18195,4071,6358,283,457,0,9,0,0
Sep.19,1호선,151,시청,48,1,2218,3988,3454,20712,7800,64832,10224,189729,12685,83476,15617,46575,21773,43044,24728,39569,30625,45374,38687,37595,49545,31729,57303,27859,77007,27562,151709,28624,65627,15504,53978,8920,52858,7693,33610,6226,12505,3940,692,1186,4,26,0,0,0,0
Sep.19,1호선,152,종각,96,3,3978,4436,4061,28700,6952,94196,12094,259164,15263,148501,20122,70193,31608,64100,38145,61960,51525,61904,60018,53667,72768,47922,85670,47586,127650,54684,223194,70006,110860,43002,95441,17081,109156,11511,84334,7687,38199,5317,3146,1335,9,25,0,0,0,0
Sep.19,1호선,153,종로3가,175,7,4914,2710,4569,13682,6364,27611,10468,75444,15201,85379,26524,74102,38889,79862,50914,82291,62488,78733,69209,72971,76778,59698,85265,52110,91311,50663,114334,54946,81987,32573,60837,13919,65364,10482,53539,8205,23557,5895,2770,2571,51,72,0,0,0,0
Sep.19,1호선,154,종로5가,34,0,1980,3364,3073,15350,5524,38558,9309,108623,13539,71099,22752,59331,32653,64338,44463,62498,54741,56090,62392,52997,65105,47339,66923,41724,79350,38279,110354,35819,62119,22005,40295,10511,33649,7146,23751,5349,9560,3371,689,961,0,12,0,0,0,0
Sep.19,1호선,155,동대문,563,12,13114,2080,10701,7167,17112,13530,22902,27857,22399,28979,21009,30850,23384,36639,28412,37230,31705,36083,32963,34002,32285,32705,32210,29926,31798,29681,31795,29802,23393,30786,18359,22146,17036,17734,14789,16685,8386,12450,1162,4215,5,111,0,1,0,0
Sep.19,1호선,156,신설동,328,5,9208,2205,9708,8476,20606,27221,29477,71184,21966,38547,20285,24437,23126,21638,24455,21609,25939,22171,25903,20897,28505,22089,32568,22336,41621,26743,65417,30326,27519,24031,17719,15966,16188,15566,11767,15281,5202,10940,579,2932,8,48,0,0,0,0
Sep.19,1호선,157,제기동,359,3,4754,2468,9140,9606,23265,20396,34468,45176,26267,45125,29550,48182,38946,55166,45008,57999,47915,61024,52850,54716,58521,47461,59350,38018,51947,32228,48203,29444,26264,21360,16522,13142,11584,11339,8387,10835,3612,7303,367,1831,5,20,0,0,0,0
Sep.19,1호선,158,청량리(서울시립대입구),1284,13,11336,3529,17049,12406,45378,19758,58550,41944,40098,43214,36955,43726,42981,50672,47793,54610,49972,61267,52144,60532,56405,55619,63621,52515,61293,52325,53468,61651,32975,44434,25435,27477,19841,25080,13872,25195,6741,16423,417,5425,6,99,0,0,0,0
Sep.19,1호선,159,동묘앞,127,3,3307,762,3386,4184,6643,11260,9558,28514,9030,17838,10947,21651,16498,29416,21972,33237,29549,36860,33212,34108,34449,29801,37566,23292,34751,17717,31214,11786,14905,8361,7373,5745,6290,5663,4163,6059,2013,4244,238,2927,5,232,0,7,0,0
Sep.19,2호선,201,시청,20,1,1283,1437,2384,14530,5698,61351,9178,218707,12733,83143,18608,30592,24742,27971,25522,26970,30734,31611,36464,27404,42889,24766,49615,22723,81053,23537,177864,25016,63957,13917,45382,8183,41147,7818,27388,7432,10953,4816,1616,1445,14,123,0,5,0,0
